Prospect ID,Lead Origin,Lead Source,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Lead Quality,Lead Origin encoded,Lead Source encoded,Last Activity encoded,Lead Quality encoded,conversion_probability,total_score,priority,rank
e4b0e08d-338d-44ad-9453-50f5d55a6f7f,Lead Add Form,Reference,1,0.0,1427,0.0,Unknown,High in Relevance,2,10,13,0,0.998863626743091,99.9,Hot,1
c025573a-4662-40c2-86a1-475cb07038d9,Lead Add Form,Reference,1,0.0,1770,0.0,Unknown,High in Relevance,2,10,13,0,0.9993928620274727,99.9,Hot,2
a933d300-df97-435b-9d51-35ba0738b623,Lead Add Form,Reference,1,0.0,1427,0.0,Unknown,High in Relevance,2,10,13,0,0.998863626743091,99.9,Hot,3
fa4a31dc-4ce7-4e4e-98f0-054a8cfcda44,Lead Add Form,Reference,1,0.0,1476,0.0,Unknown,High in Relevance,2,10,13,0,0.9989609416543287,99.9,Hot,4
5b352d64-886d-471e-9339-cfd1b7f9207c,Lead Add Form,Reference,1,0.0,1357,0.0,Unknown,High in Relevance,2,10,13,0,0.9987086070066932,99.9,Hot,5
f5be8a84-bfa2-46a6-816a-af81a45ea6b9,Lead Add Form,Reference,1,0.0,1458,0.0,Unknown,High in Relevance,2,10,13,0,0.9989262004559946,99.9,Hot,6
fcc49ba4-589a-4166-b66f-7f2dfb9d1e71,Lead Add Form,Reference,1,0.0,1672,0.0,Unknown,High in Relevance,2,10,13,0,0.9992737562756586,99.9,Hot,7
b7a8aba7-818c-43d4-acc6-693f3046ec11,Lead Add Form,Reference,1,0.0,1208,0.0,Unreachable,High in Relevance,2,10,14,0,0.9985233105968527,99.9,Hot,8
129baf4b-fae4-426f-b645-65c8190be63f,Lead Add Form,Reference,1,0.0,1558,0.0,Unknown,High in Relevance,2,10,13,0,0.9991055301497771,99.9,Hot,9
b02983c6-24cc-4ad2-aefd-718e1bd07f9a,Lead Add Form,Reference,1,0.0,1540,0.0,Unknown,High in Relevance,2,10,13,0,0.9990756188336702,99.9,Hot,10
5461778b-3604-4675-90f5-d997fe11bc29,Lead Add Form,Reference,1,0.0,1447,0.0,Unknown,High in Relevance,2,10,13,0,0.9989044009703492,99.9,Hot,11
